scenario,users_per_cohort,day,daily_emission,base_emission,anomaly_shock,buyer_flow,bps_1,bps_3,bps_whale,share_1,share_3,share_whale,cum_user1,cum_user3,cum_whale,raw_stake1,raw_stake3,raw_stake_whale
A,25,11,117288.95394639314,117288.95394639314,1,49364.222234115005,308,858,583,0.11165311995416734,0.14294334315198068,0.745403536893852,4460.743670220805,5414.124916400729,538819.709471948,9740.840523801538,11872.944167485757,792894.2446368511
A,25,12,116734.21869707422,116734.21869707422,1,47066.77803117781,336,936,636,0.1173817068645388,0.15255692001099863,0.7300613731244626,5008.842143827243,6126.469430973368,581431.2814682466,11056.192068393544,13620.06116405249,836513.8862364929
A,25,13,116192.71050490945,116192.71050490945,1,40569.339274428785,364,1014,689,0.11788576226980486,0.15772990202244577,0.7243843357077495,5556.740793749883,6859.552024719838,623515.3711748375,11892.698219760277,15016.49044167561,886983.2182637888
A,25,14,115663.62838421251,115663.62838421251,1,37464.88666255027,392,1092,742,0.12179930249892475,0.1603223089351127,0.7178783885659626,6120.25076421756,7601.29042321463,665031.5807549129,13085.871269450563,16184.489252431027,934032.8275315991
A,25,15,115146.25434216872,115146.25434216872,1,39538.26742898673,420,1170,795,0.12409504577148833,0.16393520020135255,0.711969754027159,6691.813952337834,8356.351393535402,706021.9059454842,14158.431195450208,17498.77022221714,981539.5772198548
A,25,16,79207.9612997112,114639.9396803605,0.6909281487809494,46661.90330591053,448,1248,848,0.12403550036108837,0.1663418456629203,0.7096226539759913,7084.7979168334905,8883.375332487047,734125.7878022485,14839.700499543243,18523.29478177756,1023152.0862269974
A,25,17,114144.09434261356,114144.09434261356,1,37584.955801256,476,1326,901,0.12503328134959185,0.16876975556049695,0.7061969630899112,7655.670343326865,9653.938168522134,774429.8941919495,15775.793636046386,19753.879790464925,1071933.1344840508
A,25,18,113658.17848361119,113658.17848361119,1,31081.435600295663,504,1404,954,0.1267049008597832,0.17181460337519544,0.7014804957650214,8231.712272793644,10435.063562782487,814294.391887166,16787.896642741132,21029.812430244318,1115702.4959450776
A,25,19,113181.69569135456,113181.69569135456,1,35431.117018684745,532,1482,1007,0.12851274522788556,0.173757667991787,0.6977295867803275,8813.523889707369,11221.71106288992,853779.5007700787,17863.35741036563,22219.1889733368,1161698.435916135
A,25,20,112714.18746444098,112714.18746444098,1,49791.587460786104,560,1560,1060,0.12989345100414426,0.17577714524754567,0.6943294037483101,9399.157281182741,12014.214186945766,892909.888058159,18979.6244560154,23530.762016136236,1212603.3222731336
A,25,21,112255.22865717638,112255.22865717638,1,50565.30426815152,588,1638,1113,0.131296979253461,0.1788136899526243,0.6898893307939147,9988.708178306493,12817.125053052378,931631.7303463677,20125.366203938625,25008.360333233202,1261221.8379230453
A,25,22,111804.42368226738,111804.42368226738,1,29487.834895029668,616,1716,1166,0.1329304090084728,0.1824734091141414,0.6845961818773858,10583.196489068108,13633.178426786184,969902.1711313087,21211.7574958052,26460.18120117944,1300140.3152140337
A,25,23,111361.40331420276,111361.40331420276,1,40328.17165181041,644,1794,1219,0.13431614574862544,0.18583541107521806,0.6798484431761566,11181.501868200985,14460.974113298505,1007756.6094678451,22340.002043561846,27975.769794147032,1342937.1884379874
