day,baseline_daily,probability,expected_daily,cumulative_expected
91,176827.92106449977,0.5079266029818441,89815.60525863305,9459719.296850882
92,175471.28775188327,0.510361571211271,89553.8021195162,9549273.098970398
93,174125.06260294095,0.5128071494748077,89292.57700553657,9638565.675975936
94,172789.16576568782,0.515263269170538,89031.91042967832,9727597.586405614
95,171463.51800074056,0.5177298628667977,88771.7836611821,9816369.370066797
96,170148.0406766981,0.5202068642700759,88512.17870212243,9904881.548768919
97,168842.65576537326,0.5226942081941239,88253.07826467481,9993134.627033593
98,167547.2858372368,0.5251918305302117,87994.465749227,10081129.09278282
99,166261.8540567942,0.5276996682184804,87736.3252231597,10168865.418005979
100,164986.2841780521,0.530217659220338,87478.64140034828,10256344.059406327
101,163720.50053995475,0.5327457424918521,87221.39962129587,10343565.459027624
102,162464.42806195468,0.5352838579580912,86964.58583395787,10430530.044861581
103,161217.9922394976,0.5378319464883747,86708.18657511669,10517238.231436698
104,159981.11913966015,0.54038994987239,86452.1889524098,10603690.420389108
105,158753.73539671674,0.5429578107971365,86196.5806268692,10689887.001015978
106,157535.76820778847,0.545535472824663,85941.34979603239,10775828.35081201
107,156327.14532858133,0.5481228803705627,85686.48517760955,10861514.83598962
108,155127.79506906494,0.5507199786831916,85431.97599360596,10946946.811983226
109,153937.6462891847,0.5533267138235832,85177.81195493168,11032124.623938158
110,152756.6283947043,0.5559430326460262,84923.98324653399,11117048.607184691
111,151584.67133295536,0.5585688827792792,84670.4805129131,11201719.087697605
112,150421.70558878407,0.5612042126083966,84417.29484416562,11286136.38254177
113,149267.6621802859,0.5638489712571394,84164.41776231241,11370300.800304083
114,148122.47265483066,0.5665031085709468,83911.84120817663,11454212.64151226
115,146986.0690849647,0.5691665751004475,83659.55752856712,11537872.199040826
116,145858.38406434283,0.5718393220854875,83407.55946383848,11621279.758504665
117,144739.3507037945,0.5745213014396542,83155.84013587455,11704435.598640539
118,143628.902627334,0.5772124657352786,82904.3930363757,11787339.991676914
119,142526.97396817803,0.5799127681888947,82653.21201547266,11869993.203692386
120,141433.4993649237,0.5826221626471403,82402.29127074478,11952395.49496313
121,140348.41395756602,0.5853406035730812,82151.62533644635,12034547.120299576
122,139271.65338377655,0.5880680460329428,81901.20907317476,12116448.32937275
123,138203.15377496928,0.5908044456832349,81651.03765769559,12198099.367030445
124,137142.8517525755,0.593549758758252,81401.1065731599,12279500.473603606
125,136090.6844242774,0.5963039420579397,81151.41159955967,12360651.885203166
126,135046.58938026428,0.5990669529361086,80901.94880444877,12441553.834007615
127,134010.5046895221,0.6018387492889873,80652.71453392794,12522206.548541544
128,132982.36889623106,0.6046192895440995,80403.70540393058,12602610.253945475
129,131962.12101596594,0.6074085326494547,80154.91829161764,12682765.172237093
130,130949.70053227246,0.6102064380630413,79906.35032721992,12762671.522564312
131,129945.04739294574,0.6130129657426105,79657.99888591375,12842329.521450225
