scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
B,100,144,4032,11232,144,432,75256.48206682567,180041.5435412568,0.2947789427183221,0.7052210572816779,225.35360674804153,539.1297877235222,53537.396128716166,85016.39031016927,53857.39612871616,85336.39031016927,76448.33944715637,13855378.643888542
B,100,145,4060,11310,145,435,75723.49895697493,181851.84775097074,0.2939858178385168,0.7060141821614832,224.025611621651,538.003023870915,53761.42174033781,85554.39333404019,54081.421740337806,85874.39333404019,76202.8635492566,13931581.5074378
B,100,146,4088,11388,146,438,76189.90694778791,183668.15246284514,0.2931981679559572,0.7068018320440427,222.7062604153365,536.8696331447838,53984.12800075315,86091.26296718497,54304.128000753146,86411.26296718497,75957.58935601205,14007539.096793812
B,100,147,4116,11466,147,441,76655.70708586313,185490.41708535928,0.2924159467480624,0.7075840532519376,221.39547406807952,535.729698242813,54205.52347482123,86626.99266542778,54525.523474821224,86946.99266542778,75712.51723108925,14083251.614024902
B,100,148,4144,11544,148,444,77120.90040278714,187318.6009983976,0.29163910835615287,0.7083608916438472,220.0931747783027,534.5833019770799,54425.616649599535,87161.57596740486,54745.61664959953,87481.57596740486,75467.64767553826,14158719.26170044
B,100,149,4172,11622,149,447,77585.48791581245,189152.66355672278,0.2908676073801204,0.7091323926198797,218.79928597431837,533.4305272560717,54644.41593557385,87695.00649466093,54964.415935573845,88015.00649466093,75222.981323039,14233942.24302348
B,100,150,4200,11700,150,450,78049.47062851486,190992.56409341423,0.2901013988731672,0.7098986011268328,217.51373228474654,532.2714570650087,54861.929667858596,88227.27795172595,55181.92966785859,88547.27795172595,74978.51893497552,14308920.761958456
B,100,151,4228,11778,151,453,78512.84953142921,192838.26192326876,0.2893404383366121,0.7106595616633878,216.23643951062076,531.1061744487048,55078.166107369216,88758.38412617466,55398.16610736921,89078.38412617466,74734.26139593257,14383655.023354389
B,100,152,4256,11856,152,456,78975.62560266555,194689.71634616732,0.28858468171476237,0.7114153182852376,214.96733459763095,529.9347624932502,55293.13344196685,89288.31888866791,55613.13344196684,89608.31888866791,74490.20970908811,14458145.233063476
B,100,153,4284,11934,153,459,79437.79980850543,196546.8866504042,0.2878340853898524,0.7121659146101476,213.70634560963182,528.7573043093157,55506.83978757648,89817.07619297723,55826.83978757647,90137.07619297723,74246.36499189476,14532391.59805537
B,100,154,4312,12012,154,462,79899.37310397945,198409.7321159815,0.28708860617704607,0.7129113938229539,212.4534017023884,527.5738830146145,55719.29318927887,90344.65007599184,56039.29318927886,90664.65007599184,74002.72847170029,14606394.32652707
B,100,155,4340,12090,155,465,80360.34643342589,200278.212017866,0.2863482013195039,0.7136517986804961,211.2084330987157,526.3845817184155,55930.50162237758,90871.03465771026,56250.501622377575,91191.03465771026,73759.30148171312,14680153.628008783
B,100,156,4368,12168,156,468,80820.72073103211,202152.28562921213,0.2856128284835117,0.7143871715164882,209.97137106366353,525.1894835048316,56140.472993441246,91396.22414121509,56460.47299344124,91716.22414121509,73516.08545684953,14753669.713465633
